Canton ID,Canton,Type of tax,Taxable entity,Tax authority,Taxable income for federal tax,Additional %,Base amount CHF,Tax rate,For the next CHF,Formula
-,Confederation,Income tax,"Single, no children",Federal tax,0,0,0,,,
-,Confederation,Income tax,"Single, no children",Federal tax,15200,0.77,0,,,
-,Confederation,Income tax,"Single, no children",Federal tax,33200,0.88,138.6,,,
-,Confederation,Income tax,"Single, no children",Federal tax,43500,2.64,229.2,,,
-,Confederation,Income tax,"Single, no children",Federal tax,58000,2.9699999999999998,612,,,
-,Confederation,Income tax,"Single, no children",Federal tax,76100,5.9399999999999995,1149.55,,,
-,Confederation,Income tax,"Single, no children",Federal tax,82000,6.6,1500,,,
-,Confederation,Income tax,"Single, no children",Federal tax,108800,8.8,3268.8,,,
-,Confederation,Income tax,"Single, no children",Federal tax,141500,11,6146.4,,,
-,Confederation,Income tax,"Single, no children",Federal tax,184900,13.2,10920.4,,,
-,Confederation,Income tax,"Single, no children",Federal tax,793300,13.2,91229.2,,,
-,Confederation,Income tax,"Single, no children",Federal tax,793400,11.5,91241,,,
-,Confederation,Income tax,"Married/Single, with children",Federal tax,0,0,0,,,
-,Confederation,Income tax,"Married/Single, with children",Federal tax,29700,1,0,,,
-,Confederation,Income tax,"Married/Single, with children",Federal tax,53400,2,237,,,
-,Confederation,Income tax,"Married/Single, with children",Federal tax,61300,3,395,,,
-,Confederation,Income tax,"Married/Single, with children",Federal tax,79100,4,929,,,
-,Confederation,Income tax,"Married/Single, with children",Federal tax,94900,5,1561,,,
-,Confederation,Income tax,"Married/Single, with children",Federal tax,108600,6,2246,,,
-,Confederation,Income tax,"Married/Single, with children",Federal tax,120500,7,2960,,,
-,Confederation,Income tax,"Married/Single, with children",Federal tax,130500,8,3660,,,
-,Confederation,Income tax,"Married/Single, with children",Federal tax,138300,9,4284,,,
-,Confederation,Income tax,"Married/Single, with children",Federal tax,144200,10,4815,,,
-,Confederation,Income tax,"Married/Single, with children",Federal tax,148200,11,5215,,,
-,Confederation,Income tax,"Married/Single, with children",Federal tax,150300,12,5446,,,
-,Confederation,Income tax,"Married/Single, with children",Federal tax,152300,13,5686,,,
-,Confederation,Income tax,"Married/Single, with children",Federal tax,940800,13,108191,,,
-,Confederation,Income tax,"Married/Single, with children",Federal tax,940900,11.5,108203.5,,,
1,ZH,Income tax,"Single, no children",Canton,,0,,,6900,
1,ZH,Income tax,"Single, no children",Canton,,2,,,4900,
1,ZH,Income tax,"Single, no children",Canton,,3,,,4800,
1,ZH,Income tax,"Single, no children",Canton,,4,,,7900,
1,ZH,Income tax,"Single, no children",Canton,,5,,,9600,
1,ZH,Income tax,"Single, no children",Canton,,6,,,11000,
1,ZH,Income tax,"Single, no children",Canton,,7,,,12900,
1,ZH,Income tax,"Single, no children",Canton,,8,,,17400,
1,ZH,Income tax,"Single, no children",Canton,,9,,,33600,
1,ZH,Income tax,"Single, no children",Canton,,10,,,33200,
1,ZH,Income tax,"Single, no children",Canton,,11,,,52700,
1,ZH,Income tax,"Single, no children",Canton,,12,,,68400,
1,ZH,Income tax,"Single, no children",Canton,,13,,,99999999,
1,ZH,Income tax,"Married/Single, with children",Canton,,0,,,13900,
1,ZH,Income tax,"Married/Single, with children",Canton,,2,,,6300,
1,ZH,Income tax,"Married/Single, with children",Canton,,3,,,8000,
1,ZH,Income tax,"Married/Single, with children",Canton,,4,,,9700,
1,ZH,Income tax,"Married/Single, with children",Canton,,5,,,11100,
1,ZH,Income tax,"Married/Single, with children",Canton,,6,,,14300,
1,ZH,Income tax,"Married/Single, with children",Canton,,7,,,31800,
1,ZH,Income tax,"Married/Single, with children",Canton,,8,,,31900,
1,ZH,Income tax,"Married/Single, with children",Canton,,9,,,47900,
1,ZH,Income tax,"Married/Single, with children",Canton,,10,,,57200,
1,ZH,Income tax,"Married/Single, with children",Canton,,11,,,62100,
1,ZH,Income tax,"Married/Single, with children",Canton,,12,,,71600,
1,ZH,Income tax,"Married/Single, with children",Canton,,13,,,99999999,
10,FR,Income tax,"Single, no children",Canton,0,0,0,,,
10,FR,Income tax,"Single, no children",Canton,5199,0,0,,,
10,FR,Income tax,"Single, no children",Canton,5200,1,0,,,
10,FR,Income tax,"Single, no children",Canton,17500,4.1745,0,,,
10,FR,Income tax,"Single, no children",Canton,31400,6.2139,0,,,
10,FR,Income tax,"Single, no children",Canton,48300,8.0352,0,,,
10,FR,Income tax,"Single, no children",Canton,63800,9.1042,0,,,
10,FR,Income tax,"Single, no children",Canton,77600,9.9846,0,,,
10,FR,Income tax,"Single, no children",Canton,102100,10.8662,0,,,
10,FR,Income tax,"Single, no children",Canton,128700,11.7172,0,,,
10,FR,Income tax,"Single, no children",Canton,156000,12.5355,0,,,
10,FR,Income tax,"Single, no children",Canton,181000,13.1097,0,,,
10,FR,Income tax,"Single, no children",Canton,207100,13.5,0,,,
10,FR,Income tax,"Married/Single, with children",Canton,0,0,0,,,
10,FR,Income tax,"Married/Single, with children",Canton,5199,0,0,,,
10,FR,Income tax,"Married/Single, with children",Canton,5200,1,0,,,
10,FR,Income tax,"Married/Single, with children",Canton,10500,1,0,,,
10,FR,Income tax,"Married/Single, with children",Canton,35000,4.1745,0,,,
10,FR,Income tax,"Married/Single, with children",Canton,62800,6.2139,0,,,
10,FR,Income tax,"Married/Single, with children",Canton,96600,8.0352,0,,,
10,FR,Income tax,"Married/Single, with children",Canton,127600,9.1042,0,,,
10,FR,Income tax,"Married/Single, with children",Canton,155200,9.9846,0,,,
10,FR,Income tax,"Married/Single, with children",Canton,204200,10.8662,0,,,
10,FR,Income tax,"Married/Single, with children",Canton,257400,11.7172,0,,,
10,FR,Income tax,"Married/Single, with children",Canton,312000,12.5355,0,,,
