"Canton ID",Canton,"SFO Commune ID",Commune,Canton,Commune,"Church, Protestant","Church, Roman Catholic","Church, Christian Catholic",Canton,Commune,"Church, Protestant","Church, Roman Catholic","Church, Christian Catholic",Canton,Commune,Church,Canton,Commune,Church
1,ZH,131,Adliswil,98,102,10,10,14,98,102,10,10,14,98,112,0,98,112,0
1,ZH,241,"Aesch (ZH)",98,91,11,10,14,98,91,11,10,14,98,101.6,0,98,101.6,0
1,ZH,1,"Aeugst am Albis",98,90,12,13,14,98,90,12,13,14,98,102.33,0,98,102.33,0
1,ZH,2,"Affoltern am Albis",98,122,12,13,14,98,122,12,13,14,98,134.51,0,98,134.51,0
1,ZH,211,Altikon,98,114,12,13,14,98,114,12,13,14,98,126.19,0,98,126.19,0
1,ZH,291,Andelfingen,98,117,12,14,14,98,117,12,14,14,98,129.5,0,98,129.5,0
1,ZH,51,Bachenbülach,98,106,10,11,14,98,106,10,11,14,98,116.46,0,98,116.46,0
1,ZH,81,Bachs,98,128,14,10,14,98,128,14,10,14,98,140.96,0,98,140.96,0
1,ZH,52,Bassersdorf,98,114,12,9,14,98,114,12,9,14,98,124.53,0,98,124.53,0
1,ZH,297,Bauma,98,120,14,13,14,98,120,14,13,14,98,133.69,0,98,133.69,0
1,ZH,22,"Benken (ZH)",98,110,14,14,14,98,110,14,14,14,98,124,0,98,124,0
1,ZH,23,"Berg am Irchel",98,98,12,13,14,98,98,12,13,14,98,110.14,0,98,110.14,0
1,ZH,242,"Birmensdorf (ZH)",98,112,11,10,14,98,112,11,10,14,98,122.54,0,98,122.54,0
1,ZH,3,Bonstetten,98,109,12,11,14,98,109,12,11,14,98,120.56,0,98,120.56,0
1,ZH,82,Boppelsen,98,94,13,10,14,98,94,13,10,14,98,105.95,0,98,105.95,0
1,ZH,213,Brütten,98,85,12,13,14,98,85,12,13,14,98,97.27,0,98,97.27,0
1,ZH,112,Bubikon,98,118,14,12,14,98,118,14,12,14,98,131.62,0,98,131.62,0
1,ZH,24,"Buch am Irchel",98,106,12,13,14,98,106,12,13,14,98,118.17,0,98,118.17,0
1,ZH,83,"Buchs (ZH)",98,105,11,10,14,98,105,11,10,14,98,115.49,0,98,115.49,0
1,ZH,111,Bäretswil,98,106,14,13,14,98,106,14,13,14,98,119.71,0,98,119.71,0
1,ZH,53,Bülach,98,114,10,11,14,98,114,10,11,14,98,124.5,0,98,124.5,0
1,ZH,25,Dachsen,98,111,12,14,14,98,111,12,14,14,98,123.62,0,98,123.62,0
1,ZH,86,Dielsdorf,98,105,12,10,14,98,105,12,10,14,98,115.94,0,98,115.94,0
1,ZH,243,Dietikon,98,121,12,13,14,98,121,12,13,14,98,133.69,0,98,133.69,0
1,ZH,54,Dietlikon,98,105,11,8,14,98,105,11,8,14,98,114.5,0,98,114.5,0
1,ZH,216,Dinhard,98,90,12,13,14,98,90,12,13,14,98,102.25,0,98,102.25,0
1,ZH,26,Dorf,98,104,14,13,14,98,104,14,13,14,98,117.75,0,98,117.75,0
1,ZH,214,Dägerlen,98,106,14,13,14,98,106,14,13,14,98,119.82,0,98,119.82,0
1,ZH,84,Dällikon,98,107,11,10,14,98,107,11,10,14,98,117.42,0,98,117.42,0
1,ZH,85,Dänikon,98,120,11,10,14,98,120,11,10,14,98,130.49,0,98,130.49,0
1,ZH,215,Dättlikon,98,114,12,13,14,98,114,12,13,14,98,126.23,0,98,126.23,0
1,ZH,191,Dübendorf,98,96,11,11,14,98,96,11,11,14,98,107,0,98,107,0
1,ZH,113,Dürnten,98,113,14,12,14,98,113,14,12,14,98,126.14,0,98,126.14,0
1,ZH,192,Egg,98,101,12,9,14,98,101,12,9,14,98,111.65,0,98,111.65,0
1,ZH,55,Eglisau,98,113,13,13,14,98,113,13,13,14,98,126,0,98,126,0
1,ZH,294,Elgg,98,121,14,14,14,98,121,14,14,14,98,135,0,98,135,0
1,ZH,218,"Ellikon an der Thur",98,117,12,13,14,98,117,12,13,14,98,129.27,0,98,129.27,0
1,ZH,219,Elsau,98,117,14,13,14,98,117,14,13,14,98,130.61,0,98,130.61,0
1,ZH,56,Embrach,98,114,12,13,14,98,114,12,13,14,98,126.46,0,98,126.46,0
1,ZH,151,"Erlenbach (ZH)",98,76,8,7,14,98,76,8,7,14,98,83.58,0,98,83.58,0
1,ZH,172,Fehraltorf,98,111,13,11,14,98,111,13,11,14,98,123.2,0,98,123.2,0
1,ZH,27,Feuerthalen,98,114,14,14,14,98,114,14,14,14,98,128,0,98,128,0
1,ZH,114,Fischenthal,98,122,14,13,14,98,122,14,13,14,98,135.7,0,98,135.7,0
1,ZH,28,Flaach,98,107,12,13,14,98,107,12,13,14,98,119.26,0,98,119.26,0
1,ZH,29,Flurlingen,98,111,12,14,14,98,111,12,14,14,98,123.64,0,98,123.64,0
1,ZH,57,Freienstein-Teufen,98,99,14,13,14,98,99,14,13,14,98,112.68,0,98,112.68,0
1,ZH,193,Fällanden,98,99,11,11,14,98,99,11,11,14,98,110,0,98,110,0
1,ZH,244,Geroldswil,98,112,11,9,14,98,112,11,9,14,98,121.84,0,98,121.84,0
1,ZH,58,Glattfelden,98,120,14,13,14,98,120,14,13,14,98,133.59,0,98,133.59,0
1,ZH,115,"Gossau (ZH)",98,117,14,14,14,98,117,14,14,14,98,131,0,98,131,0
1,ZH,194,Greifensee,98,96,11,10,14,98,96,11,10,14,98,106.57,0,98,106.57,0
1,ZH,116,Grüningen,98,116,12,13,14,98,116,12,13,14,98,128.34,0,98,128.34,0
1,ZH,220,Hagenbuch,98,123,14,14,14,98,123,14,14,14,98,137,0,98,137,0
1,ZH,4,"Hausen am Albis",98,112,12,14,14,98,112,12,14,14,98,124.9,0,98,124.9,0
1,ZH,5,Hedingen,98,100,12,13,14,98,100,12,13,14,98,112.4,0,98,112.4,0
1,ZH,31,Henggart,98,103,14,13,14,98,103,14,13,14,98,116.73,0,98,116.73,0
1,ZH,152,Herrliberg,98,75,9,8,14,98,75,9,8,14,98,83.57,0,98,83.57,0
1,ZH,221,Hettlingen,98,97,13,13,14,98,97,13,13,14,98,110,0,98,110,0
1,ZH,117,Hinwil,98,119,12,16,14,98,119,12,16,14,98,132.6,0,98,132.6,0
